dye_volume_ml,water_volume_l,replicate,technical_triplicate,measured_absorbance,blank_average,calculated_absorbance
1,1,1,1,0.9302,0.02884285714,1.554064039
1,1,1,2,0.9183,0.02884285714,1.533546798
1,1,1,3,0.9277,0.02884285714,1.549753695
1,1,2,1,0.9238,0.02884285714,1.543029557
1,1,2,2,0.941,0.02884285714,1.572684729
1,1,2,3,0.8995,0.02884285714,1.501133005
1,1,3,1,0.9448,0.02884285714,1.579236453
1,1,3,2,0.9073,0.02884285714,1.514581281
1,1,3,3,0.8924,0.02884285714,1.488891626
1,2,1,1,0.4618,0.02884285714,0.7464778325
1,2,1,2,0.4822,0.02884285714,0.7816502463
1,2,1,3,0.487,0.02884285714,0.7899261084
1,2,2,1,0.4894,0.02884285714,0.7940640394
1,2,2,2,0.4674,0.02884285714,0.7561330049
1,2,2,3,0.491,0.02884285714,0.7968226601
1,2,3,1,0.486,0.02884285714,0.7882019704
1,2,3,2,0.4857,0.02884285714,0.7876847291
1,2,3,3,0.4804,0.02884285714,0.778546798
1,4,1,1,0.2593,0.02884285714,0.3973399015
1,4,1,2,0.2681,0.02884285714,0.4125123153
1,4,1,3,0.261,0.02884285714,0.400270936
1,4,2,1,0.2658,0.02884285714,0.408546798
1,4,2,2,0.2724,0.02884285714,0.4199261084
1,4,2,3,0.2638,0.02884285714,0.4050985222
1,4,3,1,0.2598,0.02884285714,0.3982019704
1,4,3,2,0.2582,0.02884285714,0.3954433498
1,4,3,3,0.2658,0.02884285714,0.408546798
1,6,1,1,0.1879,0.02884285714,0.2742364532
1,6,1,2,0.1845,0.02884285714,0.2683743842
1,6,1,3,0.1903,0.02884285714,0.2783743842
1,6,2,1,0.1842,0.02884285714,0.2678571429
1,6,2,2,0.1933,0.02884285714,0.283546798
1,6,2,3,0.1852,0.02884285714,0.2695812808
1,6,3,1,0.189,0.02884285714,0.2761330049
1,6,3,2,0.1968,0.02884285714,0.2895812808
1,6,3,3,0.1887,0.02884285714,0.2756157636
1,8,1,1,0.1425,0.02884285714,0.1959605911
1,8,1,2,0.153,0.02884285714,0.2140640394
1,8,1,3,0.1469,0.02884285714,0.203546798
1,8,2,1,0.1532,0.02884285714,0.214408867
1,8,2,2,0.154,0.02884285714,0.2157881773
1,8,2,3,0.1552,0.02884285714,0.2178571429
1,8,3,1,0.1588,0.02884285714,0.2240640394
1,8,3,2,0.1542,0.02884285714,0.2161330049
1,8,3,3,0.1563,0.02884285714,0.2197536946
1,10,1,1,0.1212,0.02884285714,0.1592364532
1,10,1,2,0.1247,0.02884285714,0.165270936
1,10,1,3,0.1259,0.02884285714,0.1673399015
1,10,2,1,0.1209,0.02884285714,0.1587192118
1,10,2,2,0.1287,0.02884285714,0.1721674877
1,10,2,3,0.1273,0.02884285714,0.1697536946
1,10,3,1,0.1294,0.02884285714,0.1733743842
1,10,3,2,0.1311,0.02884285714,0.1763054187
1,10,3,3,0.1257,0.02884285714,0.1669950739
1,12,1,1,0.11,0.02884285714,0.1399261084
1,12,1,2,0.1143,0.02884285714,0.1473399015
1,12,1,3,0.1117,0.02884285714,0.1428571429
1,12,2,1,0.1159,0.02884285714,0.1500985222
1,12,2,2,0.1124,0.02884285714,0.1440640394
1,12,2,3,0.1134,0.02884285714,0.1457881773
1,12,3,1,0.1124,0.02884285714,0.1440640394
1,12,3,2,0.117,0.02884285714,0.1519950739
1,12,3,3,0.113,0.02884285714,0.1450985222
1,14,1,1,0.099,0.02884285714,0.1209605911
1,14,1,2,0.098,0.02884285714,0.1192364532
1,14,1,3,0.0989,0.02884285714,0.1207881773
1,14,2,1,0.0981,0.02884285714,0.119408867
1,14,2,2,0.1044,0.02884285714,0.130270936
1,14,2,3,0.097,0.02884285714,0.1175123153
1,14,3,1,0.0935,0.02884285714,0.1114778325
1,14,3,2,0.0952,0.02884285714,0.114408867
1,14,3,3,0.0952,0.02884285714,0.114408867
1,16,1,1,0.0849,0.0308625,0.09316810345
1,16,1,2,0.0888,0.0308625,0.09989224138
1,16,1,3,0.0892,0.0308625,0.1005818966
1,16,2,1,0.0911,0.0308625,0.1038577586
1,16,2,2,0.0891,0.0308625,0.1004094828
1,16,2,3,0.089,0.0308625,0.100237069
1,16,3,1,0.0926,0.0308625,0.1064439655
1,16,3,2,0.0894,0.0308625,0.1009267241
1,16,3,3,0.0925,0.0308625,0.1062715517
1,18,1,1,0.0798,0.0308625,0.084375
1,18,1,2,0.0812,0.0308625,0.0867887931
1,18,1,3,0.0775,0.0308625,0.08040948276
1,18,2,1,0.081,0.0308625,0.08644396552
1,18,2,2,0.0812,0.0308625,0.0867887931
1,18,2,3,0.0807,0.0308625,0.08592672414
1,18,3,1,0.0801,0.0308625,0.08489224138
1,18,3,2,0.0818,0.0308625,0.08782327586
1,18,3,3,0.0804,0.0308625,0.08540948276
1,20,1,1,0.0751,0.0308625,0.07627155172
1,20,1,2,0.0744,0.0308625,0.07506465517
1,20,1,3,0.0744,0.0308625,0.07506465517
1,20,2,1,0.0765,0.0308625,0.07868534483
1,20,2,2,0.0743,0.0308625,0.07489224138
1,20,2,3,0.0756,0.0308625,0.07713362069
1,20,3,1,0.075,0.0308625,0.07609913793
1,20,3,2,0.071,0.0308625,0.06920258621
1,20,3,3,0.0787,0.0308625,0.08247844828
3,5,1,1,0.6013,0.028125,0.9882327586
3,5,1,2,0.5855,0.028125,0.9609913793
3,5,1,3,0.5942,0.028125,0.9759913793
3,5,2,1,0.614,0.028125,1.01012931
3,5,2,2,0.6049,0.028125,0.9944396552
3,5,2,3,0.6094,0.028125,1.002198276
3,5,3,1,0.582,0.028125,0.9549568966
3,5,3,2,0.5954,0.028125,0.9780603448
3,5,3,3,0.5984,0.028125,0.9832327586
3,10,1,1,0.3105,0.028125,0.4868534483
3,10,1,2,0.316,0.028125,0.4963362069
3,10,1,3,0.3236,0.028125,0.5094396552
3,10,2,1,0.3204,0.028125,0.5039224138
3,10,2,2,0.3231,0.028125,0.5085775862
3,10,2,3,0.3171,0.028125,0.4982327586
3,10,3,1,0.3225,0.028125,0.5075431034
3,10,3,2,0.3184,0.028125,0.5004741379
3,10,3,3,0.3166,0.028125,0.4973706897
3,13,1,1,0.2488,0.028125,0.3804741379
3,13,1,2,0.2491,0.028125,0.3809913793
3,13,1,3,0.2571,0.028125,0.3947844828
3,13,2,1,0.2694,0.028125,0.4159913793
3,13,2,2,0.2579,0.028125,0.3961637931
3,13,2,3,0.2545,0.028125,0.3903017241
3,13,3,1,0.2546,0.028125,0.3904741379
3,13,3,2,0.2514,0.028125,0.3849568966
3,13,3,3,0.2556,0.028125,0.3921982759
3,16,1,1,0.2121,0.028125,0.3171982759
3,16,1,2,0.2149,0.028125,0.3220258621
3,16,1,3,0.2123,0.028125,0.3175431034
3,16,2,1,0.2103,0.028125,0.3140948276
3,16,2,2,0.2098,0.028125,0.3132327586
3,16,2,3,0.2143,0.028125,0.3209913793
3,16,3,1,0.2147,0.028125,0.3216810345
3,16,3,2,0.2096,0.028125,0.312887931
3,16,3,3,0.2171,0.028125,0.3258189655
3,19,1,1,0.1825,0.028125,0.2661637931
3,19,1,2,0.1874,0.028125,0.274612069
3,19,1,3,0.1941,0.028125,0.2861637931
3,19,2,1,0.1895,0.028125,0.2782327586
3,19,2,2,0.1887,0.028125,0.2768534483
3,19,2,3,0.1949,0.028125,0.2875431034
3,19,3,1,0.1959,0.028125,0.2892672414
3,19,3,2,0.1881,0.028125,0.2758189655
3,19,3,3,0.1882,0.028125,0.2759913793
3,22,1,1,0.1664,0.028125,0.2384051724
3,22,1,2,0.1613,0.028125,0.229612069
3,22,1,3,0.1737,0.028125,0.2509913793
3,22,2,1,0.1684,0.028125,0.2418534483
3,22,2,2,0.1656,0.028125,0.2370258621
3,22,2,3,0.1625,0.028125,0.2316810345
3,22,3,1,0.1669,0.028125,0.2392672414
3,22,3,2,0.1614,0.028125,0.2297844828
3,22,3,3,0.1609,0.028125,0.2289224138
3,25,1,1,0.145,0.028125,0.2015086207
3,25,1,2,0.1489,0.028125,0.2082327586
3,25,1,3,0.1492,0.028125,0.20875
3,25,2,1,0.1502,0.028125,0.2104741379
3,25,2,2,0.1474,0.028125,0.2056465517
3,25,2,3,0.1529,0.028125,0.2151293103
3,25,3,1,0.1483,0.028125,0.2071982759
3,25,3,2,0.1489,0.028125,0.2082327586
3,25,3,3,0.1473,0.028125,0.2054741379
3,28,1,1,0.1367,0.028125,0.1871982759
3,28,1,2,0.1339,0.028125,0.1823706897
3,28,1,3,0.1366,0.028125,0.1870258621
3,28,2,1,0.1385,0.028125,0.1903017241
3,28,2,2,0.1341,0.028125,0.1827155172
3,28,2,3,0.1338,0.028125,0.1821982759
3,28,3,1,0.136,0.028125,0.1859913793
3,28,3,2,0.1387,0.028125,0.1906465517
3,28,3,3,0.138,0.028125,0.1894396552
3,31,1,1,0.1256,0.03031666667,0.1642816092
3,31,1,2,0.122,0.03031666667,0.1580747126
3,31,1,3,0.1238,0.03031666667,0.1611781609
3,31,2,1,0.1264,0.03031666667,0.1656609195
3,31,2,2,0.1294,0.03031666667,0.1708333333
3,31,2,3,0.1235,0.03031666667,0.1606609195
3,31,3,1,0.1222,0.03031666667,0.1584195402
3,31,3,2,0.1243,0.03031666667,0.1620402299
3,31,3,3,0.128,0.03031666667,0.1684195402
3,34,1,1,0.115,0.03031666667,0.1460057471
3,34,1,2,0.1173,0.03031666667,0.1499712644
3,34,1,3,0.1181,0.03031666667,0.1513505747
3,34,2,1,0.1131,0.03031666667,0.1427298851
3,34,2,2,0.1203,0.03031666667,0.1551436782
3,34,2,3,0.1139,0.03031666667,0.1441091954
3,34,3,1,0.1151,0.03031666667,0.1461781609
3,34,3,2,0.1154,0.03031666667,0.1466954023
3,34,3,3,0.1151,0.03031666667,0.1461781609
3,37,1,1,0.1066,0.03031666667,0.1315229885
3,37,1,2,0.1101,0.03031666667,0.1375574713
3,37,1,3,0.1098,0.03031666667,0.1370402299
3,37,2,1,0.1104,0.03031666667,0.1380747126
3,37,2,2,0.1102,0.03031666667,0.1377298851
3,37,2,3,0.1094,0.03031666667,0.1363505747
3,37,3,1,0.1072,0.03031666667,0.1325574713
3,37,3,2,0.1068,0.03031666667,0.1318678161
3,37,3,3,0.112,0.03031666667,0.1408333333
3,40,1,1,0.1013,0.03031666667,0.1223850575
3,40,1,2,0.102,0.03031666667,0.123591954
3,40,1,3,0.0989,0.03031666667,0.1182471264
3,40,2,1,0.0994,0.03031666667,0.1191091954
3,40,2,2,0.0974,0.03031666667,0.1156609195
3,40,2,3,0.0971,0.03031666667,0.1151436782
3,40,3,1,0.1027,0.03031666667,0.1247988506
3,40,3,2,0.1,0.03031666667,0.1201436782
3,40,3,3,0.0983,0.03031666667,0.1172126437
3,43,1,1,0.0959,0.03031666667,0.1130747126
3,43,1,2,0.0979,0.03031666667,0.1165229885
3,43,1,3,0.0963,0.03031666667,0.1137643678
3,43,2,1,0.0976,0.03031666667,0.1160057471
3,43,2,2,0.0975,0.03031666667,0.1158333333
3,43,2,3,0.0962,0.03031666667,0.113591954
3,43,3,1,0.0981,0.03031666667,0.1168678161
3,43,3,2,0.0936,0.03031666667,0.1091091954
3,43,3,3,0.0984,0.03031666667,0.1173850575
3,46,1,1,0.0899,0.03031666667,0.1027298851
3,46,1,2,0.0918,0.03031666667,0.1060057471
3,46,1,3,0.0879,0.03031666667,0.09928160919
3,46,2,1,0.0897,0.03031666667,0.1023850575
3,46,2,2,0.0861,0.03031666667,0.09617816091
3,46,2,3,0.0897,0.03031666667,0.1023850575
3,46,3,1,0.0883,0.03031666667,0.09997126436
3,46,3,2,0.0885,0.03031666667,0.1003160919
3,46,3,3,0.0861,0.03031666667,0.09617816091
3,49,1,1,0.0814,0.03031666667,0.08807471264
3,49,1,2,0.0842,0.03031666667,0.09290229884
3,49,1,3,0.0829,0.03031666667,0.09066091953
3,49,2,1,0.0872,0.03031666667,0.09807471264
3,49,2,2,0.0833,0.03031666667,0.09135057471
3,49,2,3,0.0852,0.03031666667,0.09462643678
3,49,3,1,0.0881,0.03031666667,0.09962643678
3,49,3,2,0.0886,0.03031666667,0.1004885057
3,49,3,3,0.0922,0.03031666667,0.1066954023
3,52,1,1,0.0794,0.03031666667,0.08462643678
3,52,1,2,0.0809,0.03031666667,0.08721264367
3,52,1,3,0.0751,0.03031666667,0.07721264367
3,52,2,1,0.0803,0.03031666667,0.08617816091
3,52,2,2,0.0789,0.03031666667,0.08376436781
3,52,2,3,0.0783,0.03031666667,0.08272988505
3,52,3,1,0.0816,0.03031666667,0.08841954022
3,52,3,2,0.0895,0.03031666667,0.1020402299
3,52,3,3,0.0815,0.03031666667,0.08824712643
3,55,1,1,0.0838,0.02882857143,0.09477832512
3,55,1,2,0.079,0.02882857143,0.08650246305
3,55,1,3,0.084,0.02882857143,0.09512315271
3,55,2,1,0.0822,0.02882857143,0.09201970443
3,55,2,2,0.0779,0.02882857143,0.08460591133
3,55,2,3,0.0801,0.02882857143,0.08839901478
3,55,3,1,0.0838,0.02882857143,0.09477832512
3,55,3,2,0.0817,0.02882857143,0.09115763547
3,55,3,3,0.082,0.02882857143,0.09167487684
3,60,1,1,0.0713,0.02882857143,0.07322660098
3,60,1,2,0.073,0.02882857143,0.07615763547
3,60,1,3,0.0758,0.02882857143,0.08098522167
3,60,2,1,0.0736,0.02882857143,0.07719211822
3,60,2,2,0.0741,0.02882857143,0.07805418719
3,60,2,3,0.0727,0.02882857143,0.07564039409
3,60,3,1,0.0735,0.02882857143,0.07701970443
3,60,3,2,0.0733,0.02882857143,0.07667487684
3,60,3,3,0.0739,0.02882857143,0.0777093596
3,65,1,1,0.0682,0.02882857143,0.0678817734
3,65,1,2,0.0734,0.02882857143,0.07684729064
3,65,1,3,0.0705,0.02882857143,0.07184729064
3,65,2,1,0.0695,0.02882857143,0.07012315271
3,65,2,2,0.073,0.02882857143,0.07615763547
3,65,2,3,0.0717,0.02882857143,0.07391625616
3,65,3,1,0.0687,0.02882857143,0.06874384236
3,65,3,2,0.073,0.02882857143,0.07615763547
3,65,3,3,0.0738,0.02882857143,0.07753694581
6,5,1,1,1.0819,0.0296625,1.814202586
6,5,1,2,1.0993,0.0296625,1.844202586
6,5,1,3,1.0667,0.0296625,1.78799569
6,5,2,1,1.1293,0.0296625,1.895926724
6,5,2,2,1.1231,0.0296625,1.885237069
6,5,2,3,1.0886,0.0296625,1.82575431
6,5,3,1,1.0914,0.0296625,1.830581897
6,5,3,2,1.1233,0.0296625,1.885581897
6,5,3,3,1.1282,0.0296625,1.894030172
6,15,1,1,0.396,0.0296625,0.6316163793
6,15,1,2,0.4057,0.0296625,0.6483405172
6,15,1,3,0.4036,0.0296625,0.6447198276
6,15,2,1,0.4092,0.0296625,0.654375
6,15,2,2,0.4031,0.0296625,0.6438577586
6,15,2,3,0.3949,0.0296625,0.6297198276
6,15,3,1,0.4079,0.0296625,0.6521336207
6,15,3,2,0.407,0.0296625,0.6505818966
6,15,3,3,0.4118,0.0296625,0.6588577586
6,20,1,1,0.3064,0.0296625,0.4771336207
6,20,1,2,0.3124,0.0296625,0.4874784483
6,20,1,3,0.3176,0.0296625,0.4964439655
6,20,2,1,0.3206,0.0296625,0.5016163793
6,20,2,2,0.3106,0.0296625,0.484375
6,20,2,3,0.3115,0.0296625,0.4859267241
6,20,3,1,0.2999,0.0296625,0.4659267241
6,20,3,2,0.312,0.0296625,0.4867887931
6,20,3,3,0.3113,0.0296625,0.4855818966
6,25,1,1,0.2501,0.0296625,0.3800646552
6,25,1,2,0.261,0.0296625,0.3988577586
6,25,1,3,0.2605,0.0296625,0.3979956897
6,25,2,1,0.2578,0.0296625,0.3933405172
6,25,2,2,0.2547,0.0296625,0.3879956897
6,25,2,3,0.2526,0.0296625,0.384375
6,25,3,1,0.2539,0.0296625,0.3866163793
6,25,3,2,0.2554,0.0296625,0.3892025862
6,25,3,3,0.2656,0.0296625,0.4067887931
6,30,1,1,0.2258,0.0296625,0.3381681034
6,30,1,2,0.2265,0.0296625,0.339375
6,30,1,3,0.2244,0.0296625,0.3357543103
6,30,2,1,0.227,0.0296625,0.340237069
6,30,2,2,0.2205,0.0296625,0.3290301724
6,30,2,3,0.228,0.0296625,0.3419612069
6,30,3,1,0.2229,0.0296625,0.3331681034
6,30,3,2,0.2275,0.0296625,0.3410991379
6,30,3,3,0.2214,0.0296625,0.3305818966
6,33,1,1,0.1976,0.0296625,0.2895474138
6,33,1,2,0.1975,0.0296625,0.289375
6,33,1,3,0.1986,0.0296625,0.2912715517
6,33,2,1,0.2028,0.0296625,0.298512931
6,33,2,2,0.1997,0.0296625,0.2931681034
6,33,2,3,0.2016,0.0296625,0.2964439655
6,33,3,1,0.1994,0.0296625,0.2926508621
6,33,3,2,0.1986,0.0296625,0.2912715517
6,33,3,3,0.1998,0.0296625,0.2933405172
6,36,1,1,0.1865,0.0296625,0.2704094828
6,36,1,2,0.1828,0.0296625,0.2640301724
6,36,1,3,0.1926,0.0296625,0.2809267241
6,36,2,1,0.1843,0.0296625,0.2666163793
6,36,2,2,0.1974,0.0296625,0.2892025862
6,36,2,3,0.1894,0.0296625,0.2754094828
6,36,3,1,0.1929,0.0296625,0.2814439655
6,36,3,2,0.1905,0.0296625,0.2773060345
6,36,3,3,0.1938,0.0296625,0.2829956897
6,39,1,1,0.1753,0.0296625,0.2510991379
6,39,1,2,0.1657,0.0296625,0.2345474138
6,39,1,3,0.1861,0.0296625,0.2697198276
6,39,2,1,0.1872,0.0296625,0.2716163793
6,39,2,2,0.1829,0.0296625,0.2642025862
6,39,2,3,0.1774,0.0296625,0.2547198276
6,39,3,1,0.1709,0.0296625,0.243512931
6,39,3,2,0.1764,0.0296625,0.2529956897
6,39,3,3,0.1818,0.0296625,0.2623060345
6,42,1,1,0.1681,0.029625,0.23875
6,42,1,2,0.1684,0.029625,0.2392672414
6,42,1,3,0.1712,0.029625,0.2440948276
6,42,2,1,0.1744,0.029625,0.249612069
6,42,2,2,0.1716,0.029625,0.2447844828
6,42,2,3,0.1669,0.029625,0.2366810345
6,42,3,1,0.1699,0.029625,0.2418534483
6,42,3,2,0.1712,0.029625,0.2440948276
6,42,3,3,0.171,0.029625,0.24375
6,45,1,1,0.1494,0.029625,0.2065086207
6,45,1,2,0.1573,0.029625,0.2201293103
6,45,1,3,0.1528,0.029625,0.2123706897
6,45,2,1,0.1631,0.029625,0.2301293103
6,45,2,2,0.1554,0.029625,0.2168534483
6,45,2,3,0.1533,0.029625,0.2132327586
6,45,3,1,0.1557,0.029625,0.2173706897
6,45,3,2,0.1659,0.029625,0.2349568966
