pool_number,date,site,water_date,substrate,bare_rock,sand,turf,cyanobacteria,turf_cyano,biofilm,CCA,brown_encrusting,red_encrusting,sargassum_spp,padina_sanctae_crucis,turbinaria_ornata,dictyota_sandvicensis,loose_turbinaria,acanthophora_spicifera,gelidiella_acerosa,coelothrix_irregularis,microdictyon_setchellianum,halimeda_discoidea,cladophora_sp,dictyosphaeria_versluysii,ulva_lactuca,leptolyngbya_crosbyana,loose_rock,loose_rock_CCA,loose_rock_turf_cyano,loose_rock_red_encrusting,loose_rock_red_sponge,rubble,rubble_CCA,rubble_red_encrusting,sponge,red_sponge,total_points,notes,observers
12,2025/06/08,Kaihalulu Beach,2025/06/08,limestone,7,0,6,0,0,2,0,0,0,1,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,"Mica, Mj"
9,2025/06/08,Kaihalulu Beach,2025/06/08,limestone,10,0,51,0,0,0,0,0,0,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,loose turbinaria,"Mica, Mj"
8,2025/06/08,Kaihalulu Beach,2025/06/08,limestone,7,27,70,0,0,5,0,0,0,7,15,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,,"Mica, Mj"
5,2025/06/08,Kaihalulu Beach,2025/06/08,limestone,5,25,15,1,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,,"Mica, Mj"
6,2025/06/08,Kaihalulu Beach,2025/06/08,limestone,5,20,43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,"Mica, Mj"
7,2025/06/08,Kaihalulu Beach,2025/06/08,limestone,26,29,8,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,69,,"Mica, Mj"
14,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,0,3,7,0,0,0,1,0,0,24,14,1,0,0,0,2,0,14,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,73,,"Mica, Mj"
15,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,38,4,30,0,0,32,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,,"Mica, Mj"
13,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,5,0,18,0,0,3,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,,"Mica, Mj"
11,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,0,4,19,0,0,0,0,0,0,27,17,0,0,0,0,0,0,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,82,green film floating in pool,"Mica, Mj"
10,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,1,1,16,0,0,0,0,0,0,23,7,0,1,0,0,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,59,,"Mica, Mj"
3,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,57,15,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,,"Mica, Mj"
4,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,19,5,70,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124,,"Mica, Mj"
2,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,7,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,"Mica, Mj"
1,2025/06/09,Kaihalulu Beach,2025/06/08,limestone,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,"Mica, Mj"
16,2025/06/22,Sandy Beach,2025/06/22,basalt,11,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,,"Mica, Mj"
17,2025/06/22,Sandy Beach,2025/06/22,basalt,37,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,all turf/cyano 100% very long cyano,"Mica, Mj"
18,2025/06/22,Sandy Beach,2025/06/22,basalt,22,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,71,,"Mica, Mj"
19,2025/06/22,Sandy Beach,2025/06/22,basalt,14,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,,"Mica, Mj"
20,2025/06/22,Sandy Beach,2025/06/22,basalt,9,9,0,0,36,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,64,,"Mica, Mj"
21,2025/06/22,Sandy Beach,2025/06/22,basalt,13,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,,"Mica, Mj"
22,2025/06/22,Sandy Beach,2025/06/22,basalt,62,0,0,0,123,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,188,more A. spicifera around,"Mica, Mj"
23,2025/06/23,Sandy Beach,2025/06/22,basalt,219,20,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,264,,"Mica, Mj"
24,2025/06/23,Sandy Beach,2025/06/22,basalt,42,4,9,11,0,0,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,85,"turf 9, cyano 11","Mica, Mj"
25,2025/06/23,Sandy Beach,2025/06/22,basalt,105,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,9,150,,"Mica, Mj"
28,2025/06/23,Sandy Beach,2025/06/22,basalt,55,11,3,4,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,"turf 3, cyano 4","Mica, Mj"
29,2025/06/23,Sandy Beach,2025/06/22,basalt,84,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,101,,"Mica, Mj, Ashley"
26,2025/06/23,Sandy Beach,2025/06/22,basalt,50,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,99,all 9 cyano,"Mica, Mj, Ashley"
