date,site,water_date,substrate,pool_number,hermit_crab_large,hermit_crab_small,shore_crab,crab_other,snail_large,snail_small,cowrie,seahare,exaiptasia_diaphana,bivalve,fish_1cm,fish_2cm,fish_3cm,fish_greater_4cm,eel,holothuria_atra,holothuria_cinerascens,actinopyga_varians,sea_cucumber,echinometra_oblonga,echinometra_mathaei,jellyfish_small,shrimp,notes,observers
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,15,158,0,0,0,40,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,"fish blennies, large one 5cm",Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,14,4,0,6,0,10,0,2,0,2,0,0,0,0,1,0,1,1,0,1,2,2,0,1,fish manini 5cm,Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,13,43,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,10,26,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,,Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,11,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,12,0,0,,Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,4,48,0,1,0,37,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,,Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,3,38,0,0,0,0,383,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,"blennies 5 5cm, 1 6cm",Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,1,17,0,0,0,0,877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Haley
2025/06/09,Kaihalulu Beach,2025/06/08,limestone,2,3,0,0,0,0,315,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,"blennies 1 4cm, 1 5cm",Haley
2025/06/08,Kaihalulu Beach,2025/06/08,limestone,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Mica
2025/06/08,Kaihalulu Beach,2025/06/08,limestone,9,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Josh
2025/06/08,Kaihalulu Beach,2025/06/08,limestone,8,3,6,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/08,Kaihalulu Beach,2025/06/08,limestone,5,20,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,other crab is decorator crab,Josh
